id,title,author,url,summary,quote,slug
1,Creator Gravity: How to Pull People Into Your Orbit,Alice Lemee,https://internetly.substack.com/p/creator-gravity-how-to-pull-people,"In a digital world drowning in content, certain creators possess a magnetic force that consistently draws audiences back for more. Alice Lemee, drawing from her experience ghostwriting for influential creators, reveals that lasting audience attraction comes down to three key elements: delivering healthy content that nourishes minds, maintaining a clear purpose that guides followers, and radiating authentic energy that resonates through every piece of work.","Gravity is the force that pulls you into someone's orbit. It's that magnetic attraction to someone's work. And unlike virality that flares and fades, gravity is lasting.",creator-gravity-how-to-pull-people-into-your-orbit
2,The Never-Ending Lockdown,Diana Lind,https://thenewurbanorder.substack.com/p/the-never-ending-lockdown,"Five years post-pandemic, our society faces a troubling phenomenon where digital life increasingly dominates physical spaces. Diana Lind explores this ""human doom loop"" - a cycle where decreased real-life interactions lead to diminished quality of physical spaces, which further discourages in-person activities. She illustrates this through a Whole Foods café transformation, where a vibrant community space became an Amazon shipping facility, highlighting how digital convenience is reshaping our social landscape.","Throughout the pandemic, the media focused on the idea of the urban doom loop, in which remote work would kill downtowns, triggering a downward spiral of reduced services that would cause people to leave cities. What went overlooked has turned out to be the bigger and even more consequential story: the human doom loop.",the-neverending-lockdown
3,Good conversations have lots of doorknobs,Adam Mastroianni,https://www.experimental-history.com/p/good-conversations-have-lots-of-doorknobs,"A fresh perspective on why some conversations soar while others sink emerges from an improv comedian's stage experience. Adam Mastroianni explores the dynamic between conversation 'givers' and 'takers,' challenging the notion that one style is superior. Through research and personal insights, he reveals that great dialogue isn't about giving or taking—it's about creating 'affordances,' conversational doorknobs that invite engagement and allow rapid-fire rapport to develop naturally.","Talking to another person is like rock climbing, except you are my rock wall and I am yours. If you reach up, I can grab onto your hand, and we can both hoist ourselves skyward.",good-conversations-have-lots-of-doorknobs
4,Why Nostalgia Feels Good: The Science Behind Our Memories,Giacomo Falcone,https://giacomofalcone.substack.com/p/why-nostalgia-feels-good,"A deep dive into the fascinating science of nostalgia begins with childhood memories of Pokémon cards and GameBoy battles. Giacomo explores how this once-feared 'brain disease' evolved into a recognized psychological tool for finding life's meaning. Through insights from experts like Professor Krystine Batcho, we learn how nostalgic feelings serve as emotional anchors during uncertain times and help strengthen our sense of identity—though they can occasionally amplify sadness in worry-prone individuals.","In childhood, we were loved simply for who we were.",why-nostalgia-feels-good-the-science-behind-our-memories
5,"Sorry (Not Sorry), Self-Promotion Doesn't Work",Tara McMullin,https://www.whatworks.fyi/p/sorry-not-sorry-self-promotion-doesnt,"A refreshing take on why self-promotional content fails in today's digital landscape. Tara McMullin explores how social media platforms' evolution toward profit maximization has trapped creators in an ineffective cycle of endless self-promotion. Through examining Cory Doctorow's concept of 'enshittification,' she reveals how platforms degrade from user-friendly spaces to profit-driven wastelands, forcing creators to abandon meaningful content for desperate self-promotion. Her solution? Create platform-specific content that delivers genuine value instead of constant calls to action.","Self-promotional content is inherently valueless. Really, it's contentless—that is, lacking substance or meaning of its own.",sorry-not-sorry-selfpromotion-doesnt-work
6,Don't live a copy/paste life,Suzanne Heyn,https://suzanneheyn.substack.com/p/dont-live-a-copypaste-life,"A raw manifesto against societal conformity explores how we've become trapped in predetermined life scripts. Suzanne Heyn challenges the monotonous cycle of college, career, and consumption that leaves us disconnected from our authentic selves. Through punchy observations about rush-hour traffic, corporate jargon, and algorithmic living, she urges readers to break free from the collective programming and embrace their unique creative destiny.","Technology was supposed to free us, yet in many ways, it's made us clones. We spend so much time scrolling the algorithm, we've become the algorithm.",dont-live-a-copypaste-life
7,Is the end of social media near?,Marloes De Vries,https://marloesdevries.substack.com/p/is-the-end-of-social-media-near,"A personal journey through social media's evolution reveals its transformation from a genuine connection hub to an addictive, commodified space. Marloes De Vries reflects on her path from teenage blogger to successful Instagram illustrator, witnessing how platforms that once fostered authentic communities now prioritize algorithms and ads over human interaction. Her experience highlights a growing exodus of creators who are rediscovering the value of offline connections and questioning whether digital spaces can truly fulfill our basic human need for belonging.","On average, we spend 5.5 hours each day staring at our screens—time that could be spent meeting friends or family. Yet, we'd rather watch a series of Instagram stories during our lunch break than have a chat with a colleague.",is-the-end-of-social-media-near
8,Just delete them,Caoilainn,https://caoilainn.substack.com/p/just-delete-them,"A powerful reflection on the bizarre social media ritual of following people who once caused us pain. Through casual likes and story views, we maintain hollow connections with former bullies and frenemies, all while carrying the weight of old wounds. Caoilainn challenges this digital norm, arguing that we shouldn't feel obligated to keep toxic presences in our online spaces just because unfollowing seems dramatic.","If I wouldn't invite you to my house, then you're not welcome in my online space either. What astrologers call a Saturn Return, I call turning 30 and simply not having the energy to carry dead weight anymore.",just-delete-them
9,How I'm Building a Six-Figure Newsletter in 2025 (The Unconventional Way),Wes Pearce,https://escapethecubicle.substack.com/p/thinking-about-starting-a-newsletter,"A failed attempt at building a subscription newsletter leads to an unexpected breakthrough. Wes Pearce discovers that combining LinkedIn's reach with Substack's engagement creates a powerful growth engine. Instead of chasing paid subscriptions, he focuses on creating digital products and masterclasses, turning a modest following into a thriving business with 3,300+ subscribers and daily sales. His approach challenges conventional wisdom by prioritizing organic growth through valuable content rather than aggressive promotion.","Selling is like offering someone a piece of cheesecake...You walk around the room and offer each person your cheesecake. Many will say ""No"", but some will say ""This is exactly what I needed.""",how-im-building-a-sixfigure-newsletter-in-2025-the-unconventional-way
10,What Notion's $300M Sales Funnel Looks Like,Andreas Just,https://grwth.substack.com/p/what-notions-300m-sales-funnel-looks,"A deep dive into how Notion scaled to 100 million users and $300M in revenue through strategic marketing funnels. Andreas Just reveals how the company uses Account-Based Marketing to target different user segments, from solopreneurs to enterprise clients. Rather than promoting its entire platform, Notion creates targeted content and ads highlighting specific use cases, backed by success stories from companies like Toyota and Figma. Their approach combines organic growth through community building with sophisticated paid acquisition strategies, focusing primarily on middle and bottom-of-funnel tactics.","Because of Notion's versatility, I've always been curious to understand how they promote this tool. And I found the answer: ABM (Account-Based Marketing).",what-notions-300m-sales-funnel-looks-like
